PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103560567,448281,CC(C)C[C@@H](C(=O)O)N[C@@H](CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O,Active,,,,0.00044,IC50,=,0.44,nM
2,103565682,24829232,C1C[C@@H](NC1)P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O,Unspecified,,,,10,Ki,>,10000,nM
3,103565727,24828580,CC(C)C[C@@H](N)P(=O)(C[C@@H](CC1=CC=CC=C1)C(=O)O)O,Unspecified,,,,10,Ki,>,10000,nM
4,103565729,24828579,C1=CC=C(C=C1)C[C@H](CP(=O)([C@@H](CC2=CC=CC=C2)N)O)C(=O)O,Unspecified,,,,10,Ki,>,10000,nM
5,103565772,24828578,C[C@@H](N)P(=O)(C[C@@H](CC1=CC=CC=C1)C(=O)O)O,Unspecified,,,,10,Ki,>,10000,nM
6,103565911,24828445,CC(C)C[C@@H](NC(=O)OCC1=CC=CC=C1)P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O,Active,,,,8,Ki,=,8000,nM
7,103565951,24828444,C1=CC=C(C=C1)C[C@H](CP(=O)([C@@H](CC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)O)C(=O)O,Unspecified,,,,10,Ki,>,10000,nM
8,103565955,24828443,C[C@@H](NC(=O)OCC1=CC=CC=C1)P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O,Unspecified,,,,10,Ki,>,10000,nM
9,103565990,24828310,C[C@H](CP(=O)([C@H]1CCCN1C(=O)OCC2=CC=CC=C2)O)C(=O)O,Active,,,,3,Ki,=,3000,nM
10,103565994,24828309,CC(C)C[C@H](CP(=O)([C@H]1CCCN1C(=O)OCC2=CC=CC=C2)O)C(=O)O,Active,,,,0.3,Ki,=,300,nM
11,103565996,24828308,C1C[C@@H](N(C1)C(=O)OCC2=CC=CC=C2)P(=O)(C[C@@H](CC3=CC=CC=C3)C(=O)O)O,Active,,,,0.3,Ki,=,300,nM
12,103566036,44450296,CC(C)C[C@@H](NC(=O)[C@H](CC1=CN=CN1)NC(=O)C)P(=O)(CC(CC2=CC(=NO2)C3=CC=CC=C3)C(=O)O)O,Active,,,,0.22,Ki,=,220,nM
13,103566087,44450311,CC(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@@H]2P(=O)(CC(CC3=CC(=NO3)C4=CC=CC=C4)C(=O)O)O,Active,,,,0.0004,Ki,=,0.4,nM
14,103566089,44450312,CC(C)C[C@@H](C(=O)N1CCC[C@@H]1P(=O)(CC(CC2=CC(=NO2)C3=CC=CC=C3)C(=O)O)O)NC(=O)C,Active,,,,0.00125,Ki,=,1.25,nM
15,103566128,24827913,CC(C)C[C@@H](NC(=O)[C@H](CC1=CN=CN1)NC(=O)C)P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O,Active,,,,0.8,Ki,=,800,nM
16,103566131,24827781,CC(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@@H]2P(=O)(C[C@@H](CC3=CC=CC=C3)C(=O)O)O,Active,,,,0.0007,Ki,=,0.7,nM
17,103566131,24827781,CC(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@@H]2P(=O)(C[C@@H](CC3=CC=CC=C3)C(=O)O)O,Active,,,,0.0021,Ki,=,2.1,nM
18,103566132,24827784,CC(C)C[C@@H](C(=O)N[C@H](CC1=CC=CC=C1)P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Active,,,,0.92,Ki,=,920,nM
19,103566172,24827661,CC(C)[C@@H](C(=O)N1CCC[C@@H]1P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Active,,,,0.0066,Ki,=,6.6,nM
20,103566173,24827658,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@@H]2P(=O)(C[C@@H](CC3=CC=CC=C3)C(=O)O)O,Active,,,,0.0052,Ki,=,5.2,nM
21,103566206,24827547,CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N2CCC[C@@H]2P(=O)(C[C@@H](CC3=CC=CC=C3)C(=O)O)O,Active,,,,0.0052,Ki,=,5.2,nM
22,103566207,24827440,CC(=O)N[C@@H](CCC(=O)O)C(=O)N1CCC[C@@H]1P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O,Active,,,,0.007,Ki,=,7,nM
23,103566210,24827437,CC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@@H]1P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O,Active,,,,0.0065,Ki,=,6.5,nM
24,103566278,24827312,CC(C)C[C@@H](C(=O)N1CCC[C@@H]1P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Active,,,,0.00013,Ki,=,0.13,nM
25,103566278,24827312,CC(C)C[C@@H](C(=O)N1CCC[C@@H]1P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Active,,,,0.00035,Ki,=,0.35,nM
26,103566321,24827309,C[C@@H](C(=O)N1CCC[C@@H]1P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Active,,,,0.0075,Ki,=,7.5,nM
